iT;t;p1;p2
0;0;0.0005877852522928606;-0.0009510565162950494
1;0.00078125;0.0006584455199885042;-0.0009750609761904153
2;0.0015625;0.0007235244676924898;-0.0009910029862159793
3;0.00234375;0.0007826246473001675;-0.0009988137340736596
4;0.003125;0.000835180562868724;-0.0009984064514938495
5;0.00390625;0.0008808327553471903;-0.0009898208152516001
6;0.004687500000000001;0.0009191735239113541;-0.0009731224575943997
7;0.005468750000000001;0.0009499291597829066;-0.0009484719680230569
8;0.00625;0.0009728375584832823;-0.0009160750218934292
9;0.00703125;0.0009877369617375582;-0.0008762143278957524
10;0.0078125;0.0009945068665520769;-0.0008292237546735729
11;0.008593750000000001;0.0009931108990315352;-0.0007755018434920657
12;0.009375000000000001;0.0009835677939851923;-0.0007154970975070304
13;0.01015625;0.000965971471790302;-0.0006497121415260191
14;0.0109375;0.0009404760111901093;-0.0005786940296251449
15;0.01171875;0.0009073041284087443;-0.0005030335285477842
16;0.0125;0.0008667383905986981;-0.0004233575522908002
17;0.01328125;0.0008191235646724712;-0.0003403258266819383
18;0.0140625;0.0007648603686144876;-0.0002546241449081776
19;0.01484375;0.0007044043983389278;-0.0001669596046198762
20;0.015625;0.0006382606911046196;-7.80541530147616e-05
21;0.01640625;0.000566980616923729;1.136092321019078e-05
22;0.0171875;0.000491156499355346;0.0001005513157489683
23;0.01796875;0.0004114172297088696;0.0001887855171058087
24;0.01875;0.0003284226712025884;0.0002753409703899479
25;0.01953125;0.0002428584588519319;0.000359509889804599
26;0.0203125;0.0001554301531664729;0.0004406051256230133
27;0.02109375;6.685755126530542e-05;0.0005179657318355643
28;0.021875;-2.213132333631999e-05;0.0005909623949141481
29;0.02265625;-0.0001108061370918752;0.0006590025368258997
30;0.0234375;-0.0001984402751323463;0.0007215351493243816
31;0.02421875;-0.0002843167558926514;0.0007780552510231095
32;0.025;-0.0003677341069163731;0.0008281079786485179
33;0.02578125;-0.0004480120684012452;0.0008712922457760897
34;0.0265625;-0.0005244971380733432;0.0009072639625173906
35;0.02734375;-0.0005965678711821928;0.0009357387739896694
36;0.028125;-0.0006636399219009567;0.0009564943069193532
37;0.02890625;-0.0007251707656289833;0.0009693718987146364
38;0.0296875;-0.0007806640783556418;0.0009742778010964533
39;0.03046875;-0.0008296737284799368;0.0009711838455406981
40;0.03125;-0.0008718073560558537;0.0009601275686416481
41;0.03203125;-0.0009067295063047709;0.0009412117957197097
42;0.0328125;-0.000934164295893917;0.0009146036884715159
43;0.03359375;-0.000953897588618228;0.0008805332648904596
44;0.034375;-0.0009657786649744556;0.000839291405422197
45;0.03515625;-0.0009697213715137801;0.0007912273626402566
46;0.0359375;-0.0009657047418443199;0.0007367457963738389
47;0.03671875;-0.000953773084167627;0.0006763033596920801
48;0.03750000000000001;-0.0009340355353515406;0.0006104048650238761
49;0.03828125;-0.0009066650852957991;0.0005395990628092781
50;0.0390625;-0.0008718970799487616;0.000464474068413286
51;0.03984375;-0.0008300272154168434;0.000385652475552926
