iT;t;p1;p2
0;0;0.0009510565162903125;0.0005877852522644389
1;0.00078125;0.0008804080973732198;0.0007225339018077648
2;0.0015625;0.0007810840823670636;0.0008336091173835788
3;0.00234375;0.0006562960754763481;0.0009174993591235155
4;0.003125;0.0005101630515582656;0.0009713767090791711
5;0.00390625;0.0003474226406675977;0.0009935935290741327
6;0.004687500000000001;0.0001734269365745907;0.0009833400064659752
7;0.005468750000000001;-6.179647584758641e-06;0.0009410573687394693
8;0.00625;-0.0001855005547592251;0.0008680443893354095
9;0.00703125;-0.0003587204472902765;0.0007667850196260891
10;0.0078125;-0.0005201570559923615;0.0006405046690360905
11;0.008593750000000001;-0.0006645812831796624;0.0004934189804923032
12;0.009375000000000001;-0.0007872557587991954;0.0003302493763233845
13;0.01015625;-0.0008842181373059551;0.0001564078764507334
14;0.0109375;-0.0009522839286167558;-2.251031924060953e-05
15;0.01171875;-0.000989273453228634;-0.0002005806447111051
16;0.0125;-0.0009939619114902598;-0.0003720468874159148
17;0.01328125;-0.0009662370193836978;-0.0005311769207310135
18;0.0140625;-0.000906986814963299;-0.0006727415506778319
19;0.01484375;-0.0008181831204486419;-0.0007919339714514232
20;0.015625;-0.0007027057120012614;-0.0008849642174861098
21;0.01640625;-0.0005643538125544486;-0.0009491036226639457
22;0.0171875;-0.000407610526811671;-0.000983115346419557
23;0.01796875;-0.0002375900833158084;-0.000986683452614064
24;0.01875;-5.976079410174862e-05;-0.0009599216347169204
25;0.01953125;0.0001201274213447808;-0.0009024068380843649
26;0.0203125;0.000296281530760704;-0.0008136503815118582
27;0.02109375;0.0004628654367782777;-0.0006943905830212316
28;0.021875;0.0006141793573988252;-0.00054884851776175
29;0.02265625;0.0007447478470415566;-0.0003850523988830901
30;0.0234375;0.0008497975598705428;-0.000212847731556091
31;0.02421875;0.0009257613668675427;-3.967596270134285e-05
32;0.025;0.0009709050155682538;0.0001316988818113411
33;0.02578125;0.0009852904798511493;0.0003016551202108531
34;0.0265625;0.0009701072752553349;0.0004684018217631092
35;0.02734375;0.00092631129966018;0.0006243874553698939
36;0.028125;0.0008538172360204044;0.00075786224889877
37;0.02890625;0.0007519385831074032;0.0008596169342733143
38;0.0296875;0.000621475819192104;0.0009281085586583989
39;0.03046875;0.0004668123446360066;0.000968215146485818
40;0.03125;0.0002962904278168328;0.000983849451737721
41;0.03203125;0.0001196614881943485;0.0009724650392399781
42;0.0328125;-5.56366654412462e-05;0.0009269667502091276
43;0.03359375;-0.0002265503140582344;0.0008439457312761078
44;0.034375;-0.0003925122560985983;0.0007290052438596225
45;0.03515625;-0.0005511412366558943;0.0005936499164818088
46;0.0359375;-0.0006953058738569476;0.0004463072681725559
47;0.03671875;-0.0008149540086985022;0.0002877075769447401
48;0.03750000000000001;-0.0009023712758562397;0.0001153013490693411
49;0.03828125;-0.0009562781129943687;-6.783553518137826e-05
50;0.0390625;-0.0009804773109559999;-0.0002503317573427921
51;0.03984375;-0.0009783193040675542;-0.0004189920838750065
52;0.040625;-0.0009483165387109693;-0.0005676617893565586
53;0.04140625000000001;-0.0008857286769625716;-0.0006980257323903061
54;0.0421875;-0.0007885683609174521;-0.0008119917845685146
